epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.72708,0.2949,1,1,0.00232,0.00041675,0.00041675,0.00041675
2,9.46781,0.0168,1,1,0.00011,0.000833337,0.000833337,0.000833337
3,11.7175,0.03691,0.99029,1,0.01542,0.00123276,0.00123276,0.00123276
4,13.9978,0.05408,1,1,1e-05,0.00156798,0.00156798,0.00156798
5,16.3239,0.03025,1,1,0.00223,0.00153497,0.00153497,0.00153497
6,18.5843,0.01083,1,1,1e-05,0.00150197,0.00150197,0.00150197
7,20.847,0.03277,1,1,0.00124,0.00146896,0.00146896,0.00146896
8,23.1006,0.04338,1,1,0.00837,0.00143595,0.00143595,0.00143595
9,25.3481,0.02772,0.99029,1,0.02637,0.00140295,0.00140295,0.00140295
10,27.6122,0.02157,0.99029,1,0.00991,0.00136994,0.00136994,0.00136994
11,29.8444,0.03909,1,1,0.00271,0.00133693,0.00133693,0.00133693
