epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.92842,0.2949,1,1,0.00232,0.00041675,0.00041675,0.00041675
2,7.59608,0.0168,1,1,0.00011,0.000833337,0.000833337,0.000833337
3,9.96505,0.03691,0.99029,1,0.01542,0.00123276,0.00123276,0.00123276
4,12.3205,0.05408,1,1,1e-05,0.00156798,0.00156798,0.00156798
5,14.6958,0.03025,1,1,0.00223,0.00153497,0.00153497,0.00153497
6,17.0618,0.01083,1,1,1e-05,0.00150197,0.00150197,0.00150197
7,19.4534,0.03277,1,1,0.00124,0.00146896,0.00146896,0.00146896
8,21.8215,0.04338,1,1,0.00837,0.00143595,0.00143595,0.00143595
9,24.1647,0.02772,0.99029,1,0.02637,0.00140295,0.00140295,0.00140295
10,26.5106,0.02157,0.99029,1,0.00991,0.00136994,0.00136994,0.00136994
11,28.8665,0.03909,1,1,0.00271,0.00133693,0.00133693,0.00133693
12,31.2395,0.00912,1,1,0.00084,0.00130393,0.00130393,0.00130393
13,33.596,0.01357,1,1,0.00103,0.00127092,0.00127092,0.00127092
14,36.0078,0.01472,1,1,0.00638,0.00123791,0.00123791,0.00123791
15,38.5061,0.0092,1,1,0.00629,0.00120491,0.00120491,0.00120491
16,40.9103,0.03784,1,1,0.00149,0.0011719,0.0011719,0.0011719
17,43.4003,0.01115,1,1,0.00067,0.00113889,0.00113889,0.00113889
18,45.9052,0.00427,1,1,3e-05,0.00110589,0.00110589,0.00110589
19,48.309,0.02174,1,1,0.00038,0.00107288,0.00107288,0.00107288
20,50.6194,0.00663,1,1,0.00016,0.00103987,0.00103987,0.00103987
21,52.9438,0.00668,1,1,1e-05,0.00100687,0.00100687,0.00100687
22,55.405,0.00535,1,1,0.00199,0.000973861,0.000973861,0.000973861
23,57.9307,0.03565,1,1,0.00665,0.000940855,0.000940855,0.000940855
24,60.563,0.01995,1,1,0.00866,0.000907848,0.000907848,0.000907848
25,63.1276,0.00634,1,1,0.00235,0.000874842,0.000874842,0.000874842
26,65.7123,0.00889,1,1,0.00232,0.000841835,0.000841835,0.000841835
27,68.2612,0.00142,1,1,0.00208,0.000808828,0.000808828,0.000808828
28,70.7758,0.00989,1,1,0.00043,0.000775822,0.000775822,0.000775822
29,73.3378,0.01202,1,1,0.0008,0.000742815,0.000742815,0.000742815
30,75.918,0.00595,1,1,0.00026,0.000709809,0.000709809,0.000709809
31,78.4565,0.00739,1,1,0.00028,0.000676802,0.000676802,0.000676802
32,80.9806,0.00857,1,1,0.00128,0.000643795,0.000643795,0.000643795
33,83.53,0.00457,1,1,0.00045,0.000610789,0.000610789,0.000610789
34,86.081,0.00057,1,1,0.00026,0.000577782,0.000577782,0.000577782
35,88.6653,0.00516,1,1,0.00051,0.000544776,0.000544776,0.000544776
36,91.2461,0.00195,1,1,0.00301,0.000511769,0.000511769,0.000511769
37,93.7797,0.0013,1,1,0.00034,0.000478762,0.000478762,0.000478762
38,96.2545,0.00049,1,1,0.00013,0.000445756,0.000445756,0.000445756
39,98.6847,0.00199,1,1,0.00011,0.000412749,0.000412749,0.000412749
40,101.126,0.00058,1,1,4e-05,0.000379743,0.000379743,0.000379743
41,152.925,0.00798,1,1,2e-05,0.000346736,0.000346736,0.000346736
42,155.563,0.00045,1,1,5e-05,0.000313729,0.000313729,0.000313729
43,158.169,0.00927,1,1,1e-05,0.000280723,0.000280723,0.000280723
44,160.84,0.0013,1,1,1e-05,0.000247716,0.000247716,0.000247716
45,163.466,0.00113,1,1,1e-05,0.00021471,0.00021471,0.00021471
46,166.073,0.00597,1,1,1e-05,0.000181703,0.000181703,0.000181703
47,168.739,0.00364,1,1,2e-05,0.000148696,0.000148696,0.000148696
48,171.229,0.00098,1,1,1e-05,0.00011569,0.00011569,0.00011569
49,173.788,0.00653,1,1,2e-05,8.26832e-05,8.26832e-05,8.26832e-05
50,176.352,0.00147,1,1,3e-05,4.96766e-05,4.96766e-05,4.96766e-05
